game,i,team,goal
53,1,1,1
53,3,1,1
53,5,1,2
53,7,1,1
53,9,1,0
53,2,2,2
53,4,2,2
53,6,2,1
53,8,2,2
53,10,2,0
55,1,1,2
55,3,1,2
55,5,1,1
55,7,1,2
55,9,1,0
55,2,2,1
55,4,2,1
55,6,2,1
55,8,2,0
55,10,2,0
57,1,1,2
57,3,1,2
57,5,1,2
57,7,1,2
57,9,1,0
57,2,2,1
57,4,2,2
57,6,2,2
57,8,2,1
57,10,2,0
58,1,1,1
58,3,1,1
58,5,1,2
58,7,1,2
58,9,1,2
58,2,2,2
58,4,2,2
58,6,2,2
58,8,2,1
58,10,2,2
64,2,1,2
64,4,1,2
64,6,1,2
64,8,1,2
64,10,1,0
64,1,2,2
64,3,2,1
64,5,2,1
64,7,2,2
64,9,2,0